RecordNumber,SourceName,TaskCategory,EventCode,EventType,Type
45586,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45585,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45584,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7011,2,Error
45583,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7011,2,Error
45582,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45581,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7011,2,Error
45580,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45579,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
45578,"Microsoft-Windows-Kernel-Power","The process cannot access the file because another process has locked a portion of the file.",131,4,Information
45577,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45576,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45575,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45574,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
45573,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
45572,"Microsoft-Windows-Kernel-Power","The specified network name is no longer available.",42,4,Information
45571,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
45570,"Microsoft-Windows-Kernel-Power","The process cannot access the file because another process has locked a portion of the file.",131,4,Information
45569,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45568,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45567,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45566,EventLog,"The operation completed successfully.",6013,4,Information
45565,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
45564,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
45563,"Microsoft-Windows-Kernel-Power","The specified network name is no longer available.",42,4,Information
45562,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
45561,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
45560,"Microsoft-Windows-Winlogon","A tape access reached a filemark.",7001,4,Information
45559,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45558,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
45557,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45556,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because another process has locked a portion of the file.",27,4,Information
45555,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because it is being used by another process.",25,4,Information
45554,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",32,4,Information
45553,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",18,4,Information
45552,"Microsoft-Windows-Kernel-Boot","The device is not ready.",30,4,Information
45551,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45550,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45549,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
45548,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
45547,"Microsoft-Windows-Kernel-Power","The specified network name is no longer available.",42,4,Information
45546,"Microsoft-Windows-Winlogon","The beginning of the tape or a partition was encountered.",7002,4,Information
45545,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",19,4,Information
45544,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",43,4,Information
45543,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",44,4,Information
45542,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45541,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
45540,"Microsoft-Windows-Winlogon","A tape access reached a filemark.",7001,4,Information
45539,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
45538,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because another process has locked a portion of the file.",27,4,Information
45537,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because it is being used by another process.",25,4,Information
45536,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",32,4,Information
45535,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",18,4,Information
45534,"Microsoft-Windows-Kernel-Boot","The device is not ready.",30,4,Information
45533,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45532,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45531,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45530,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
45529,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
45528,"Microsoft-Windows-Kernel-Power","The specified network name is no longer available.",42,4,Information
45527,"Microsoft-Windows-Winlogon","The beginning of the tape or a partition was encountered.",7002,4,Information
45526,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45525,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45524,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45523,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45522,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45521,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45520,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
45519,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
45518,"Microsoft-Windows-Winlogon","A tape access reached a filemark.",7001,4,Information
45517,BROWSER,"The operation completed successfully.",8033,4,Information
45516,BROWSER,"The operation completed successfully.",8033,4,Information
45515,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
45514,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because another process has locked a portion of the file.",27,4,Information
45513,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because it is being used by another process.",25,4,Information
45512,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",32,4,Information
45511,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",18,4,Information
45510,"Microsoft-Windows-Kernel-Boot","The device is not ready.",30,4,Information
45509,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45508,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45505,BROWSER,"The operation completed successfully.",8033,4,Information
45507,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45506,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
45504,EventLog,"The operation completed successfully.",6013,4,Information
45501,"Microsoft-Windows-Winlogon","The beginning of the tape or a partition was encountered.",7002,4,Information
45500,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10010,2,Error
45499,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10010,2,Error
45498,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10010,2,Error
45497,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10010,2,Error
45496,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45495,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",19,4,Information
45494,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",43,4,Information
45493,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45492,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",44,4,Information
45491,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45490,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
45489,"Microsoft-Windows-Winlogon","A tape access reached a filemark.",7001,4,Information
45488,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
45487,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45486,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45485,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because another process has locked a portion of the file.",27,4,Information
45484,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because it is being used by another process.",25,4,Information
45483,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",32,4,Information
45482,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",18,4,Information
45481,"Microsoft-Windows-Kernel-Boot","The device is not ready.",30,4,Information
45480,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45479,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
45477,BROWSER,"The operation completed successfully.",8033,4,Information
45478,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
45476,"Microsoft-Windows-Kernel-Power","The specified network name is no longer available.",42,4,Information
45475,"Microsoft-Windows-Winlogon","The beginning of the tape or a partition was encountered.",7002,4,Information
45474,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45473,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45472,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45471,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
45470,"Microsoft-Windows-Winlogon","A tape access reached a filemark.",7001,4,Information
45469,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
45468,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45467,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45466,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45465,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because another process has locked a portion of the file.",27,4,Information
45464,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because it is being used by another process.",25,4,Information
45463,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",32,4,Information
45462,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",18,4,Information
45461,"Microsoft-Windows-Kernel-Boot","The device is not ready.",30,4,Information
45460,BROWSER,"The operation completed successfully.",8033,4,Information
45459,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
45458,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
45457,"Microsoft-Windows-Kernel-Power","The specified network name is no longer available.",42,4,Information
45456,"Microsoft-Windows-Winlogon","The beginning of the tape or a partition was encountered.",7002,4,Information
45455,User32,"The operation completed successfully.",1074,4,Information
45454,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45453,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45452,Volsnap,"The operation completed successfully.",33,4,Information
45451,Volsnap,"The operation completed successfully.",33,4,Information
45450,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45449,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45448,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
45447,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
45446,"Microsoft-Windows-Time-Service","The operation completed successfully.",35,4,Information
45445,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
45444,"Microsoft-Windows-FilterManager","The operation completed successfully.",4,3,Warning
45443,"Microsoft-Windows-Time-Service","The operation completed successfully.",37,4,Information
45442,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45441,"Microsoft-Windows-Time-Service","The operation completed successfully.",158,4,Information
45440,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45439,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45438,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45437,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45436,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",44,4,Information
45435,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",19,4,Information
45434,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",43,4,Information
45433,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",44,4,Information
45432,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45431,Lfsvc,"The operation completed successfully.",1,4,Information
45430,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45429,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
45428,"Microsoft-Windows-Winlogon","A tape access reached a filemark.",7001,4,Information
45427,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45426,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7026,4,Information
45425,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45424,"Microsoft-Windows-TaskScheduler","Task Misconfiguration",414,3,Warning
45423,"Microsoft-Windows-TaskScheduler","Task Misconfiguration",414,3,Warning
45422,"Microsoft-Windows-TaskScheduler","Task Misconfiguration",414,3,Warning
45421,"Microsoft-Windows-TaskScheduler","Task Misconfiguration",414,3,Warning
45420,"Microsoft-Windows-WLAN-AutoConfig","The operation completed successfully.",4000,4,Information
45419,"Microsoft-Windows-DHCPv6-Client","Service State Event",51046,4,Information
45418,"Microsoft-Windows-Dhcp-Client","Service State Event",50036,4,Information
45417,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45416,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45415,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45414,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45413,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45369,EventLog,"The operation completed successfully.",6013,4,Information
45368,EventLog,"The operation completed successfully.",6005,4,Information
45367,EventLog,"The operation completed successfully.",6009,4,Information
45412,"Microsoft-Windows-FilterManager","The operation completed successfully.",6,4,Information
45411,"Microsoft-Windows-FilterManager","The operation completed successfully.",6,4,Information
45410,"Microsoft-Windows-FilterManager","The operation completed successfully.",6,4,Information
45409,"Microsoft-Windows-FilterManager","The operation completed successfully.",6,4,Information
45408,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45407,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45406,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45405,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45404,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45403,"Microsoft-Windows-Directory-Services-SAM","The operation completed successfully.",16962,4,Information
45402,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45401,"Microsoft-Windows-Wininit","The operation completed successfully.",14,4,Information
45400,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
45399,BTHUSB,"The operation completed successfully.",18,4,Information
45398,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45397,"Microsoft-Windows-Ntfs","The operation completed successfully.",98,4,Information
45396,"Microsoft-Windows-Ntfs","The operation completed successfully.",98,4,Information
45395,"Microsoft-Windows-Ntfs","The operation completed successfully.",98,4,Information
45394,"Microsoft-Windows-Kernel-Processor-Power",None,55,4,Information
45393,"Microsoft-Windows-Kernel-Processor-Power",None,55,4,Information
45392,"Microsoft-Windows-Kernel-Processor-Power",None,55,4,Information
45391,MEIx64,"The operation completed successfully.",2,4,Information
45390,"Microsoft-Windows-Kernel-Processor-Power",None,55,4,Information
45389,"Microsoft-Windows-Kernel-PnP","The segment is locked and cannot be reallocated.",219,3,Warning
45388,"Microsoft-Windows-DriverFrameworks-UserMode","Startup of the UMDF reflector",10114,4,Information
45387,"Microsoft-Windows-Kernel-Power","The system could not find the environment option that was entered.",172,4,Information
45386,"Microsoft-Windows-FilterManager","The operation completed successfully.",6,4,Information
45385,"Microsoft-Windows-FilterManager","The operation completed successfully.",6,4,Information
45384,"Microsoft-Windows-Ntfs","The operation completed successfully.",98,4,Information
45383,"Microsoft-Windows-FilterManager","The operation completed successfully.",6,4,Information
45382,"Microsoft-Windows-FilterManager","The operation completed successfully.",6,4,Information
45381,"Microsoft-Windows-FilterManager","The operation completed successfully.",6,4,Information
45380,"Microsoft-Windows-Kernel-Boot","The device is not ready.",30,4,Information
45379,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",32,4,Information
45378,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",18,4,Information
45377,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because it is being used by another process.",25,4,Information
45376,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because another process has locked a portion of the file.",27,4,Information
45375,"Microsoft-Windows-Kernel-Boot","A device attached to the system is not functioning.",20,4,Information
45374,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",153,4,Information
45373,"Microsoft-Windows-Kernel-General","Possible detection of CVE: %1",12,4,Information
45372,"Microsoft-Windows-Kernel-General","Possible detection of CVE: %1",13,4,Information
45371,"Microsoft-Windows-Kernel-Power","The semaphore cannot be set again.",109,4,Information
45370,"Microsoft-Windows-WLAN-AutoConfig","The operation completed successfully.",4001,4,Information
45365,EventLog,Information,6006,4,Information
45366,"Microsoft-Windows-DHCPv6-Client","Service State Event",51047,4,Information
45364,"Microsoft-Windows-Winlogon","The beginning of the tape or a partition was encountered.",7002,4,Information
45363,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45362,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45361,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7045,4,Information
45360,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45359,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",44,4,Information
45358,"Microsoft-Windows-FilterManager","The operation completed successfully.",4,3,Warning
45357,"Microsoft-Windows-FilterManager","The operation completed successfully.",4,3,Warning
45356,"Microsoft-Windows-Ntfs","The operation completed successfully.",98,4,Information
45355,"Microsoft-Windows-FilterManager","The operation completed successfully.",4,3,Warning
45354,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45353,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45352,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
45351,"Microsoft-Windows-UserPnp","A registry key for event logging could not be created for this session.",20001,4,Information
45350,"Microsoft-Windows-UserPnp","A registry key for event logging could not be created for this session.",20003,4,Information
45349,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10100,4,Information
45348,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10002,4,Information
45347,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10000,4,Information
45346,"Microsoft-Windows-WPD-ClassInstaller","Driver Post-Install Configuration",24579,4,Information
45345,"Microsoft-Windows-WPD-ClassInstaller","Driver Post-Install Configuration",24577,4,Information
45344,"Microsoft-Windows-WPD-ClassInstaller","Driver Installation",24576,4,Information
45343,disk,"The operation completed successfully.",51,3,Warning
45342,disk,"The operation completed successfully.",51,3,Warning
45341,disk,"The operation completed successfully.",51,3,Warning
45340,disk,"The operation completed successfully.",153,3,Warning
45339,disk,"The operation completed successfully.",51,3,Warning
45338,disk,"The operation completed successfully.",51,3,Warning
45337,disk,"The operation completed successfully.",153,3,Warning
45336,disk,"The operation completed successfully.",51,3,Warning
45335,disk,"The operation completed successfully.",153,3,Warning
45334,disk,"The operation completed successfully.",153,3,Warning
45333,disk,"The operation completed successfully.",153,3,Warning
45332,disk,"The operation completed successfully.",153,3,Warning
45331,disk,"The operation completed successfully.",153,3,Warning
45330,disk,"The operation completed successfully.",51,3,Warning
45329,disk,"The operation completed successfully.",153,3,Warning
45328,disk,"The operation completed successfully.",153,3,Warning
45327,disk,"The operation completed successfully.",153,3,Warning
45326,disk,"The operation completed successfully.",153,3,Warning
45325,disk,"The operation completed successfully.",153,3,Warning
45324,disk,"The operation completed successfully.",153,3,Warning
45323,disk,"The operation completed successfully.",153,3,Warning
45322,disk,"The operation completed successfully.",153,3,Warning
45321,disk,"The operation completed successfully.",153,3,Warning
45320,disk,"The operation completed successfully.",153,3,Warning
45319,disk,"The operation completed successfully.",153,3,Warning
45318,disk,"The operation completed successfully.",153,3,Warning
45317,disk,"The operation completed successfully.",153,3,Warning
45316,disk,"The operation completed successfully.",51,3,Warning
45315,disk,"The operation completed successfully.",153,3,Warning
45314,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45313,disk,"The operation completed successfully.",153,3,Warning
45312,disk,"The operation completed successfully.",153,3,Warning
45311,disk,"The operation completed successfully.",153,3,Warning
45310,disk,"The operation completed successfully.",153,3,Warning
45309,disk,"The operation completed successfully.",153,3,Warning
45308,"Microsoft-Windows-UserPnp","A registry key for event logging could not be created for this session.",20001,4,Information
45305,"Microsoft-Windows-WPD-ClassInstaller","Driver Migration",25089,4,Information
45304,"Microsoft-Windows-WPD-ClassInstaller","Driver Post-Install Configuration",24579,4,Information
45303,"Microsoft-Windows-WPD-ClassInstaller","Driver Post-Install Configuration",24577,4,Information
45307,disk,"The operation completed successfully.",51,3,Warning
45306,disk,"The operation completed successfully.",51,3,Warning
45302,"Microsoft-Windows-WPD-ClassInstaller","Driver Installation",24576,4,Information
45301,"Microsoft-Windows-UserPnp","A registry key for event logging could not be created for this session.",20003,4,Information
45300,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10100,4,Information
45299,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10002,4,Information
45298,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10000,4,Information
45297,"Microsoft-Windows-UserPnp","A registry key for event logging could not be created for this session.",20001,4,Information
45296,"Microsoft-Windows-WPD-ClassInstaller","Driver Migration",25089,4,Information
45295,"Microsoft-Windows-WPD-ClassInstaller","Driver Installation",24576,4,Information
45294,disk,"The operation completed successfully.",153,3,Warning
45293,disk,"The operation completed successfully.",11,2,Error
45292,disk,"The operation completed successfully.",153,3,Warning
45291,disk,"The operation completed successfully.",11,2,Error
45290,disk,"The operation completed successfully.",153,3,Warning
45289,"Microsoft-Windows-UserPnp","A registry key for event logging could not be created for this session.",20003,4,Information
45288,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10100,4,Information
45287,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10002,4,Information
45286,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10000,4,Information
45285,Schannel,"The operation completed successfully.",36874,2,Error
45284,Schannel,"The operation completed successfully.",36874,2,Error
45283,Schannel,"The operation completed successfully.",36874,2,Error
45282,Schannel,"The operation completed successfully.",36874,2,Error
45281,Schannel,"The operation completed successfully.",36874,2,Error
45280,Schannel,"The operation completed successfully.",36874,2,Error
45279,Schannel,"The operation completed successfully.",36874,2,Error
45278,Schannel,"The operation completed successfully.",36874,2,Error
45277,Schannel,"The operation completed successfully.",36874,2,Error
45276,Schannel,"The operation completed successfully.",36874,2,Error
45275,Schannel,"The operation completed successfully.",36874,2,Error
45274,Schannel,"The operation completed successfully.",36874,2,Error
45273,Schannel,"The operation completed successfully.",36874,2,Error
45272,Schannel,"The operation completed successfully.",36874,2,Error
45271,Schannel,"The operation completed successfully.",36874,2,Error
45270,Schannel,"The operation completed successfully.",36874,2,Error
45269,Schannel,"The operation completed successfully.",36874,2,Error
45268,Schannel,"The operation completed successfully.",36874,2,Error
45267,Schannel,"The operation completed successfully.",36874,2,Error
45266,Schannel,"The operation completed successfully.",36874,2,Error
45265,Schannel,"The operation completed successfully.",36874,2,Error
45264,Schannel,"The operation completed successfully.",36874,2,Error
45263,Schannel,"The operation completed successfully.",36874,2,Error
45262,Schannel,"The operation completed successfully.",36874,2,Error
45261,Schannel,"The operation completed successfully.",36874,2,Error
45260,Schannel,"The operation completed successfully.",36874,2,Error
45259,Schannel,"The operation completed successfully.",36874,2,Error
45258,Schannel,"The operation completed successfully.",36874,2,Error
45257,Schannel,"The operation completed successfully.",36874,2,Error
45256,Schannel,"The operation completed successfully.",36874,2,Error
